County,Average_Household_Income
Alameda,164661.00087228455
Alpine,164883.0
Amador,99146.60711336932
Butte,92479.13041443129
Calaveras,97040.41068728922
Colusa,91247.92088266954
Contra Costa,165199.18940022567
Del Norte,79343.86977964324
El Dorado,139271.49445404974
Fresno,91923.8859268288
Glenn,78522.70981318004
Humboldt,81887.04659143041
Imperial,72922.78712997618
Inyo,83421.98534845203
Kern,87915.39485547696
Kings,85039.54372161307
Lake,83916.98350134028
Lassen,76594.55943977591
Los Angeles,119755.45493597709
Madera,94763.7906605559
Marin,215832.247924481
Mariposa,79432.44899302356
Mendocino,86870.38385855254
Merced,86076.36741179314
Modoc,68080.28063473405
Mono,100756.90407454778
Monterey,123405.20259900896
Napa,146879.0639806575
Nevada,110538.60997223228
Orange,147180.79413590726
Placer,140703.47750381875
Plumas,95939.48038005923
Riverside,110020.18199515718
Sacramento,108612.43618228768
San Benito,129828.67036066896
San Bernardino,100077.86499587834
San Diego,129233.52717774856
San Francisco,197408.400812544
San Joaquin,107068.37105924869
San Luis Obispo,121160.57573150538
San Mateo,216683.76201087306
Santa Barbara,131721.6866150562
Santa Clara,210348.6005286368
Santa Cruz,146532.02515364764
Shasta,91289.27559874555
Sierra,89205.0
Siskiyou,76371.1416773231
Solano,121292.66268138618
Sonoma,133118.961682652
Stanislaus,97408.5995436622
Sutter,100981.83354014708
Tehama,87477.5059497218
Trinity,73300.12657304395
Tulare,85831.95167413095
Tuolumne,94641.61201874644
Ventura,135093.64945057736
Yolo,117611.45416321758
Yuba,85285.74331628396
